Acné,Acne
Syndrome de Cushing,Cushing's syndrome
Pré-éclampsie,Preeclampsia
Hyperémèse gravidique,Hyperemesis gravidarum
Fausse couche,Miscarriage
Aphtes,Mouth ulcers , Aphthous ulcers
Gingivite,Gingivitis
Parodontite,Periodontitis
Dyspepsie,Dyspepsia , Indigestion
Méléna,Melena , Black stool
Rectorragie,Hematochezia , Rectal bleeding
Dysurie,Dysuria
Alopécie,Alopecia , Hair loss
Hyperhidrose,Hyperhidrosis , Excessive sweating
Hyperpigmentation,Hyperpigmentation
Vitiligo,Vitiligo
Rosacée,Rosacea
Cellulite infectieuse,Cellulitis
Érysipèle,Erysipelas
Névralgie post-zostérienne,Postherpetic neuralgia
Conjonctivite allergique,Allergic conjunctivitis
Kératoconjonctivite sèche,Dry keratoconjunctivitis
Otite externe,External otitis
Otite moyenne aiguë,Acute otitis media
Épistaxis,Epistaxis , Nosebleed
Polypes nasaux,Nasal polyps
Aphonie,Aphonia , Loss of voice
Apnée du sommeil,Sleep apnea
Syndrome des jambes sans repos,Restless legs syndrome
Narcolepsie,Narcolepsy
Bruxisme,Bruxism , Teeth grinding
Autisme,Autism spectrum disorder
TDAH,ADHD , Attention deficit hyperactivity disorder
Retard de croissance,Growth retardation
Fièvre prolongée,Prolonged fever
Fièvre d'origine inconnue,Fever of unknown origin
Syndrome inflammatoire,Inflammatory syndrome
Douleurs thoraciques,Chest pain
Claudication intermittente,Intermittent claudication
Pied diabétique,Diabetic foot
Neuropathie diabétique,Diabetic neuropathy
Rétinopathie diabétique,Diabetic retinopathy
Néphropathie diabétique,Diabetic nephropathy
Syndrome métabolique,Metabolic syndrome
Douleurs pelviennes,Pelvic pain
Dysménorrhée,Dysmenorrhea , Painful periods
Aménorrhée,Amenorrhea
Métrorragie,Metrorrhagia , Abnormal uterine bleeding
Ménorragie,Menorrhagia , Heavy periods
Vaginite,Vaginitis
Salpingite,Salpingitis
Endométrite,Endometritis
Orchite,Orchitis
Épididymite,Epididymitis
Prostatite,Prostatitis
Pyélonéphrite,Pyelonephritis
Urétrite,Urethritis
Dysphagie,Dysphagia , Difficulty swallowing
